name,image,recipe
147. Tumis Wortel Jamur (Lauk Sehat),https://img-global.cpcdn.com/recipes/ea208e83e9ce57ae/130x160cq50/147-tumis-wortel-jamur-lauk-sehat-foto-resep-utama.jpg,"['wortel, parut kasar', 'jamur tiram, suwir', 'bawang merah', 'bawang putih', 'garam', 'air', 'minyak goreng']"
Healthy food with oatmeal,https://img-global.cpcdn.com/recipes/81006efe58aeab8a/130x160cq50/healthy-food-with-oatmeal-foto-resep-utama.jpg,"['Oatmeal', 'naga', 'Madu', 'Air panas', 'Almond', 'Kurma']"
Perkedel Tahu Jagung🌽 | Lauk ENAK + SEHAT 🤤,https://img-global.cpcdn.com/recipes/d66fc812b04fcc18/130x160cq50/perkedel-tahu-jagung-lauk-enak-sehat-foto-resep-utama.jpg,"['Tahu putih/ kuning (ukuran sedang, dihancurkan)', 'Jagung', 'Wortel (serut)', 'Telur', 'Tepung Sasa Bakwan', 'Tepung Maizena', 'Daun bawang (iris)', 'air', 'Minyak utk menggoreng']"
Strawberry Oat Dessert Box (Healthy Food),https://img-global.cpcdn.com/recipes/1fc9869fae227bde/130x160cq50/strawberry-oat-dessert-box-healthy-food-foto-resep-utama.jpg,"['oat, dihaluskan', 'strawberry', 'strawberry Youghurt Greenfields', 'madu', 'nutrijel plain', 'air']"
Sarapan Pagi Real Food Enak sehat kenyang,https://img-global.cpcdn.com/recipes/29e73a306777c8c7/130x160cq50/sarapan-pagi-real-food-enak-sehat-kenyang-foto-resep-utama.jpg,"['Pepaya kupas potong sesuai selera', 'Nanas madu potong sesuai selera', 'telur rebus atau 1/2 sesuai selera', 'air hangat putih', 'Pisang kepok kuning kukus secukupnya (3-5buah)', 'air jeruk nipis']"
16. Kentang Parut Panggang si Lauk Sehat,https://img-global.cpcdn.com/recipes/2911ee7bf8291333/130x160cq50/16-kentang-parut-panggang-si-lauk-sehat-foto-resep-utama.jpg,"['kentang parut', 'wortel parut', 'telor', 'Bawang daun', 'garam', 'gula', 'kaldu']"
Healthy diet food: Tortilla+ beef slice + egg,https://img-global.cpcdn.com/recipes/ecd79bb1fad60688/130x160cq50/healthy-diet-food-tortilla-beef-slice-egg-foto-resep-utama.jpg,"['frozen tortila (bisa bikin sendiri juga yah)', 'Red lettuce (bisa ganti sayur apa aja yang suka)', 'telur', 'saus mustard', 'bawang bombay', 'beef slice (bisa ganti apa aja yang suka, bisa beef belly, wagyu atau saikoro)', 'himalayan salt', 'totole', 'merica bubuk', 'chilli flakes']"
Healthy diet food: Saikoro Beef + Pita bread,https://img-global.cpcdn.com/recipes/6e180853e3bcfc89/130x160cq50/healthy-diet-food-saikoro-beef-pita-bread-foto-resep-utama.jpg,"['pita bread', 'tomat', 'selada', 'bawang bombay besar', 'daging saikoro', 'saus mustard', 'saus sambal', 'Himalayan salt / garam biasa', 'Black pepper', 'Merica', 'Totole', 'Oregano']"
"Healthy Food - tumis sawi putih, putih telor, wortel dan Udang",https://img-global.cpcdn.com/recipes/dc45537f3a6b362e/130x160cq50/healthy-food-tumis-sawi-putih-putih-telor-wortel-dan-udang-foto-resep-utama.jpg,"['udang kupas kepala', 'wortel', 'Sawi putih', 'Putih telor']"
72. Tumis Bayam (lauk sehat),https://img-global.cpcdn.com/recipes/4ce069e589cd659b/130x160cq50/72-tumis-bayam-lauk-sehat-foto-resep-utama.jpg,"['bayam', 'saos tiram', 'Bumbu Halus', 'bawang merah', 'bawang putih', 'garam']"
Sate Ayam rasa rumahan. Enak sehat,https://img-global.cpcdn.com/recipes/7bdd1561a8896c59/130x160cq50/sate-ayam-rasa-rumahan-enak-sehat-foto-resep-utama.jpg,"['dada ayam, potong dadu sesuai selera', 'sate, basahi dulu dengan air. Sisihkan', 'garam', 'ketumbar bubuk', 'baput', 'minyak', 'cabe rawit (potong kasar)', 'Bamer(iris kasar)', 'tomat (potong dadu kecil)', 'kecap manis', 'kecap/saos inggris(bisa diskip)', 'air jeruk nipis']"
Healthy Diet Food: Grilled Chicken Sambal Matah + Selada Romaine + Roti Gandum Panggang,https://img-global.cpcdn.com/recipes/a6f81dca43d262f8/130x160cq50/healthy-diet-food-grilled-chicken-sambal-matah-selada-romaine-roti-gandum-panggang-foto-resep-utama.jpg,"['Ayam paha/dada fillet (marinated pake garam bawang putih, lada)', 'Roti tawar gandum', 'Sambal matah', 'Selada romaine']"
Healthy Diet Food: Caesar Salad + Air Fried Chicken + Mushroom Sauce,https://img-global.cpcdn.com/recipes/bcbe23ad20b9a489/130x160cq50/healthy-diet-food-caesar-salad-air-fried-chicken-mushroom-sauce-foto-resep-utama.jpg,"['Selada', 'Ayam dada', 'Telur', 'Roti tawar', 'Keju', 'Saus jamur instan (biar cepet biar gampang biar murah 🤣🤣🤣🙏🏻🙏🏻🙏🏻)']"
Healthy Diet Food: Ayam Panggang + Kentang + Tabur Kacang,https://img-global.cpcdn.com/recipes/a0f67956283d1c37/130x160cq50/healthy-diet-food-ayam-panggang-kentang-tabur-kacang-foto-resep-utama.jpg,"['Ayam paha', 'Kacang', 'Kentang', 'Wortel', 'Selada']"
Healthy Diet Food: Mangga semangka jeruk,https://img-global.cpcdn.com/recipes/9627ef3b8b8bb761/130x160cq50/healthy-diet-food-mangga-semangka-jeruk-foto-resep-utama.jpg,"['Mangga', 'Semangka', 'Jeruk', 'Almond Panggang']"
